query_id	query
13	what are the transmission routes of coronavirus
5	what drugs have been active against sars cov or sars cov 2 in animal studies
38	what is the mechanism of inflammatory response and pathogenesis of covid 19 cases
9	how has covid 19 affected canada
4	what causes death from covid 19
7	are there serological tests that detect antibodies to coronavirus
42	does vitamin d impact covid 19 prevention and treatment
47	what are the health outcomes for children who contract covid 19
48	what are the benefits and risks of re opening schools in the midst of the covid 19 pandemic
16	how long does coronavirus remain stable on surfaces
10	has social distancing had an impact on slowing the spread of covid 19
17	are there any clinical trials available for the coronavirus
25	which biomarkers predict the severe clinical course of 2019 ncov infection
35	what new public datasets are available related to covid 19
32	does sars cov 2 have any subtypes and if so what are they
1	what is the origin of covid 19
45	how has the covid 19 pandemic impacted mental health
28	what evidence is there for the value of hydroxychloroquine in treating covid 19
34	what are the longer term complications of those who recover from covid 19
6	what types of rapid testing for covid 19 have been developed
30	is remdesivir an effective treatment for covid 19
12	what are best practices in hospitals and at home in maintaining quarantine
37	what is the result of phylogenetic analysis of sars cov 2 genome sequence
2	how does the coronavirus respond to changes in the weather
22	are cardiac complications likely in patients with covid 19
3	will sars cov2 infected people develop immunity is cross protection possible
44	how much impact do masks have on preventing the spread of the covid 19
36	what is the protein structure of the sars cov 2 spike
24	what kinds of complications related to covid 19 are associated with diabetes
41	what are the impacts of covid 19 among african americans that differ from the rest of the u s population
11	what are the guidelines for triaging patients infected with coronavirus
23	what kinds of complications related to covid 19 are associated with hypertension
19	what type of hand sanitizer is needed to destroy covid 19
50	what is known about an mrna vaccine for the sars cov 2 virus
21	what are the mortality rates overall and in specific populations
8	how has lack of testing availability led to underreporting of true incidence of covid 19
43	how has the covid 19 pandemic impacted violence in society including violent crimes
15	how long can the coronavirus live outside the body
29	which sars cov 2 proteins human proteins interactions indicate potential for drug targets are there approved drugs that can be repurposed based on this information
39	what is the mechanism of cytokine storm syndrome on the covid 19
